Date : 2024-07-23 11:28:27
Directory : /Users/yuwenjun/git_repo/code-train
Total : 594 files,  349092 codes, 19756 comments, 40780 blanks, all 409628 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| code/llama.cpp/examples/llama.android/app/src/main/res                                                                                   |          9 |        237 |         24 |         10 |        271 |
| code/llama.cpp/examples/llama.android/app/src/main/res/drawable                                                                          |          2 |        200 |          0 |          2 |        202 |
| code/llama.cpp/examples/llama.android/app/src/main/res/mipmap-anydpi                                                                     |          2 |         12 |          0 |          2 |         14 |
| code/llama.cpp/examples/llama.android/app/src/main/res/values                                                                            |          3 |         17 |          0 |          4 |         21 |
| code/llama.cpp/examples/llama.android/app/src/main/res/xml                                                                               |          2 |          8 |         24 |          2 |         34 |
| code/llama.cpp/examples/llama.android/gradle                                                                                             |          1 |          5 |          1 |          1 |          7 |
| code/llama.cpp/examples/llama.android/gradle/wrapper                                                                                     |          1 |          5 |          1 |          1 |          7 |
| code/llama.cpp/examples/llama.android/llama                                                                                              |          2 |        328 |         26 |         95 |        449 |
| code/llama.cpp/examples/llama.android/llama/src                                                                                          |          2 |        328 |         26 |         95 |        449 |
| code/llama.cpp/examples/llama.android/llama/src/main                                                                                     |          2 |        328 |         26 |         95 |        449 |
| code/llama.cpp/examples/llama.android/llama/src/main (Files)                                                                             |          1 |          3 |          0 |          2 |          5 |
| code/llama.cpp/examples/llama.android/llama/src/main/cpp                                                                                 |          1 |        325 |         26 |         93 |        444 |
| code/llama.cpp/examples/llama.swiftui                                                                                                    |         10 |        826 |         20 |        186 |      1,032 |
| code/llama.cpp/examples/llama.swiftui (Files)                                                                                            |          1 |          7 |          0 |          6 |         13 |
| code/llama.cpp/examples/llama.swiftui/llama.cpp.swift                                                                                    |          1 |        255 |          7 |         80 |        342 |
| code/llama.cpp/examples/llama.swiftui/llama.swiftui                                                                                      |          8 |        564 |         13 |        100 |        677 |
| code/llama.cpp/examples/llama.swiftui/llama.swiftui (Files)                                                                              |          1 |          9 |          0 |          2 |         11 |
| code/llama.cpp/examples/llama.swiftui/llama.swiftui/Assets.xcassets                                                                      |          2 |         19 |          0 |          2 |         21 |
| code/llama.cpp/examples/llama.swiftui/llama.swiftui/Assets.xcassets (Files)                                                              |          1 |          6 |          0 |          1 |          7 |
| code/llama.cpp/examples/llama.swiftui/llama.swiftui/Assets.xcassets/AppIcon.appiconset                                                   |          1 |         13 |          0 |          1 |         14 |
| code/llama.cpp/examples/llama.swiftui/llama.swiftui/Models                                                                               |          1 |        160 |          3 |         34 |        197 |
| code/llama.cpp/examples/llama.swiftui/llama.swiftui/UI                                                                                   |          4 |        376 |         10 |         62 |        448 |
| code/llama.cpp/examples/llava                                                                                                            |         13 |      2,996 |        368 |        717 |      4,081 |
| code/llama.cpp/examples/llava (Files)                                                                                                    |         11 |      2,954 |        359 |        705 |      4,018 |
| code/llama.cpp/examples/llava/android                                                                                                    |          2 |         42 |          9 |         12 |         63 |
| code/llama.cpp/examples/lookahead                                                                                                        |          2 |        307 |         73 |        115 |        495 |
| code/llama.cpp/examples/lookup                                                                                                           |          5 |        368 |         28 |        130 |        526 |
| code/llama.cpp/examples/main                                                                                                             |          2 |        890 |         71 |        306 |      1,267 |
| code/llama.cpp/examples/main-cmake-pkg                                                                                                   |          1 |         21 |          0 |         11 |         32 |
| code/llama.cpp/examples/parallel                                                                                                         |          2 |        282 |         42 |        109 |        433 |
| code/llama.cpp/examples/passkey                                                                                                          |          2 |        182 |         21 |         93 |        296 |
| code/llama.cpp/examples/perplexity                                                                                                       |          2 |      1,747 |        145 |        366 |      2,258 |
| code/llama.cpp/examples/quantize                                                                                                         |          3 |        482 |         20 |         62 |        564 |
| code/llama.cpp/examples/quantize-stats                                                                                                   |          1 |        365 |         10 |         50 |        425 |
| code/llama.cpp/examples/retrieval                                                                                                        |          2 |        272 |         34 |         64 |        370 |
| code/llama.cpp/examples/rpc                                                                                                              |          2 |        184 |          1 |         25 |        210 |
| code/llama.cpp/examples/save-load-state                                                                                                  |          1 |        174 |         19 |         55 |        248 |
| code/llama.cpp/examples/server                                                                                                           |         44 |     21,255 |      1,426 |      4,445 |     27,126 |
| code/llama.cpp/examples/server (Files)                                                                                                   |          8 |     11,516 |        595 |      2,436 |     14,547 |
| code/llama.cpp/examples/server/bench                                                                                                     |          5 |        472 |         23 |        100 |        595 |
| code/llama.cpp/examples/server/public                                                                                                    |         15 |      5,002 |        426 |      1,075 |      6,503 |
| code/llama.cpp/examples/server/public_simplechat                                                                                         |          6 |      1,213 |        370 |        242 |      1,825 |
| code/llama.cpp/examples/server/tests                                                                                                     |          5 |      1,224 |         12 |        280 |      1,516 |
| code/llama.cpp/examples/server/tests (Files)                                                                                             |          3 |         58 |          2 |         25 |         85 |
| code/llama.cpp/examples/server/tests/features                                                                                            |          2 |      1,166 |         10 |        255 |      1,431 |
| code/llama.cpp/examples/server/tests/features (Files)                                                                                    |          1 |         59 |          0 |         13 |         72 |
| code/llama.cpp/examples/server/tests/features/steps                                                                                      |          1 |      1,107 |         10 |        242 |      1,359 |
| code/llama.cpp/examples/server/themes                                                                                                    |          5 |      1,828 |          0 |        312 |      2,140 |
| code/llama.cpp/examples/server/themes (Files)                                                                                            |          1 |          3 |          0 |          3 |          6 |
| code/llama.cpp/examples/server/themes/buttons-top                                                                                        |          2 |        912 |          0 |        154 |      1,066 |
| code/llama.cpp/examples/server/themes/wild                                                                                               |          2 |        913 |          0 |        155 |      1,068 |
| code/llama.cpp/examples/simple                                                                                                           |          2 |        115 |         18 |         65 |        198 |
| code/llama.cpp/examples/speculative                                                                                                      |          2 |        439 |         49 |        138 |        626 |
| code/llama.cpp/examples/sycl                                                                                                             |          6 |         75 |         41 |         55 |        171 |
| code/llama.cpp/examples/tokenize                                                                                                         |          1 |        282 |         60 |         51 |        393 |
| code/llama.cpp/examples/train-text-from-scratch                                                                                          |          3 |      1,454 |         61 |        267 |      1,782 |
| code/llama.cpp/ggml                                                                                                                      |        211 |    219,384 |      4,667 |     16,184 |    240,235 |
| code/llama.cpp/ggml (Files)                                                                                                              |          1 |        146 |         10 |         65 |        221 |
| code/llama.cpp/ggml/cmake                                                                                                                |          1 |         90 |          0 |         11 |        101 |
| code/llama.cpp/ggml/include                                                                                                              |         10 |      1,905 |        603 |        515 |      3,023 |
| code/llama.cpp/ggml/src                                                                                                                  |        199 |    217,243 |      4,054 |     15,593 |    236,890 |
| code/llama.cpp/ggml/src (Files)                                                                                                          |         18 |    197,837 |      3,185 |     11,203 |    212,225 |
| code/llama.cpp/ggml/src/ggml-cuda                                                                                                        |        166 |     10,567 |        280 |      2,841 |     13,688 |
| code/llama.cpp/ggml/src/ggml-cuda (Files)                                                                                                |         64 |     10,296 |        175 |      2,513 |     12,984 |
| code/llama.cpp/ggml/src/ggml-cuda/template-instances                                                                                     |        102 |        271 |        105 |        328 |        704 |
| code/llama.cpp/ggml/src/ggml-sycl                                                                                                        |         15 |      8,839 |        589 |      1,549 |     10,977 |
| code/llama.cpp/ggml/src/ggml-sycl (Files)                                                                                                |         14 |      6,312 |        394 |      1,334 |      8,040 |
| code/llama.cpp/ggml/src/ggml-sycl/dpct                                                                                                   |          1 |      2,527 |        195 |        215 |      2,937 |
| code/llama.cpp/gguf-py                                                                                                                   |         19 |      3,847 |        244 |        764 |      4,855 |
| code/llama.cpp/gguf-py (Files)                                                                                                           |          2 |         88 |          0 |         34 |        122 |
| code/llama.cpp/gguf-py/examples                                                                                                          |          2 |         58 |          7 |         24 |         89 |
| code/llama.cpp/gguf-py/gguf                                                                                                              |          9 |      3,026 |        170 |        530 |      3,726 |
| code/llama.cpp/gguf-py/scripts                                                                                                           |          5 |        672 |         66 |        172 |        910 |
| code/llama.cpp/gguf-py/tests                                                                                                             |          1 |          3 |          1 |          4 |          8 |
| code/llama.cpp/grammars                                                                                                                  |          1 |         99 |          0 |         46 |        145 |
| code/llama.cpp/include                                                                                                                   |          1 |        643 |        312 |        202 |      1,157 |
| code/llama.cpp/media                                                                                                                     |          1 |      1,236 |          1 |          2 |      1,239 |
| code/llama.cpp/pocs                                                                                                                      |          2 |        395 |         25 |         64 |        484 |
| code/llama.cpp/pocs/vdot                                                                                                                 |          2 |        395 |         25 |         64 |        484 |
| code/llama.cpp/scripts                                                                                                                   |         27 |      1,774 |        306 |        522 |      2,602 |
| code/llama.cpp/spm-headers                                                                                                               |          5 |      2,423 |        889 |        654 |      3,966 |
| code/llama.cpp/src                                                                                                                       |          5 |     22,875 |      1,520 |      3,355 |     27,750 |
| code/llama.cpp/tests                                                                                                                     |         25 |      8,010 |        759 |      1,402 |     10,171 |
| code/temp                                                                                                                                |          2 |         27 |          1 |          8 |         36 |
| code/temp (Files)                                                                                                                        |          1 |         11 |          0 |          1 |         12 |
| code/temp/tcmalloc                                                                                                                       |          1 |         16 |          1 |          7 |         24 |
| note                                                                                                                                     |          8 |        320 |         10 |         43 |        373 |
| note (Files)                                                                                                                             |          7 |        239 |         10 |         31 |        280 |
| note/数据结构                                                                                                                                |          1 |         81 |          0 |         12 |         93 |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                 | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Users/yuwenjun/git_repo/code-train/README.md                                                                                            | Markdown         |          1 |         14 |          2 |         17 |
| /Users/yuwenjun/git_repo/code-train/code/algo_traning/labuladong/include/solution.h                                                      | C++              |         17 |          2 |          3 |         22 |
| /Users/yuwenjun/git_repo/code-train/code/algo_traning/labuladong/mergeSort.cpp                                                           | C++              |         50 |          2 |          5 |         57 |
| /Users/yuwenjun/git_repo/code-train/code/algo_traning/labuladong/quicksort.cpp                                                           | C++              |         46 |          4 |          5 |         55 |
| /Users/yuwenjun/git_repo/code-train/code/algo_traning/labuladong/source/BipartiteGraph.cpp                                               | C++              |         41 |          5 |          5 |         51 |
| /Users/yuwenjun/git_repo/code-train/code/algo_traning/labuladong/source/Minimum.cpp                                                      | C++              |         14 |         11 |          4 |         29 |
| /Users/yuwenjun/git_repo/code-train/code/algo_traning/labuladong/source/N_Queen.cpp                                                      | C++              |         64 |          3 |         12 |         79 |
| /Users/yuwenjun/git_repo/code-train/code/algo_traning/labuladong/source/allpathsfromsourcetotarget.cpp                                   | C++              |         27 |          0 |          4 |         31 |
| /Users/yuwenjun/git_repo/code-train/code/algo_traning/labuladong/source/courseschedule.cpp                                               | C++              |         82 |         15 |         15 |        112 |
| /Users/yuwenjun/git_repo/code-train/code/algo_traning/labuladong/source/debug_gdb.cpp                                                    | C++              |         13 |          0 |          2 |         15 |
| /Users/yuwenjun/git_repo/code-train/code/algo_traning/labuladong/source/distinct_subsequence.cpp                                         | C++              |         33 |          2 |          2 |         37 |
| /Users/yuwenjun/git_repo/code-train/code/algo_traning/labuladong/source/fib.cpp                                                          | C++              |         23 |          5 |          3 |         31 |
| /Users/yuwenjun/git_repo/code-train/code/algo_traning/labuladong/source/graphvalidtree.cpp                                               | C++              |         27 |          0 |          5 |         32 |
| /Users/yuwenjun/git_repo/code-train/code/algo_traning/labuladong/source/lls.cpp                                                          | C++              |         29 |          1 |          4 |         34 |
| /Users/yuwenjun/git_repo/code-train/code/algo_traning/labuladong/source/open_the_lock.cpp                                                | C++              |         70 |          3 |          6 |         79 |
| /Users/yuwenjun/git_repo/code-train/code/algo_traning/labuladong/source/sds.md                                                           | Markdown         |         20 |          0 |          0 |         20 |
| /Users/yuwenjun/git_repo/code-train/code/algo_traning/labuladong/source/sliding_Puzzle.cpp                                               | C++              |         57 |         31 |          7 |         95 |
| /Users/yuwenjun/git_repo/code-train/code/algo_traning/labuladong/source/solution.cpp                                                     | C++              |         54 |          1 |          2 |         57 |
| /Users/yuwenjun/git_repo/code-train/code/algo_traning/labuladong/source/subset.cpp                                                       | C++              |         38 |          3 |          6 |         47 |
| /Users/yuwenjun/git_repo/code-train/code/algo_traning/labuladong/source/topoorder.cpp                                                    | C++              |         55 |          3 |          7 |         65 |
| /Users/yuwenjun/git_repo/code-train/code/algo_traning/labuladong/source/traverse.cpp                                                     | C++              |         21 |          1 |          3 |         25 |
| /Users/yuwenjun/git_repo/code-train/code/algo_traning/labuladong/source/traversemoretree.cpp                                             | C++              |         50 |          7 |          8 |         65 |
| /Users/yuwenjun/git_repo/code-train/code/algo_traning/labuladong/testcase/mergeK.cpp                                                     | C++              |         65 |          3 |         10 |         78 |
| /Users/yuwenjun/git_repo/code-train/code/algo_traning/labuladong/testcase/test_partition.cpp                                             | C++              |         69 |          9 |         10 |         88 |
| /Users/yuwenjun/git_repo/code-train/code/algo_traning/test.cpp                                                                           | C++              |         33 |         13 |         10 |         56 |
| /Users/yuwenjun/git_repo/code-train/code/cancanscript/combine.html                                                                       | HTML             |         19 |          0 |          4 |         23 |
| /Users/yuwenjun/git_repo/code-train/code/cancanscript/excel_to_txt.py                                                                    | Python           |         16 |         11 |         10 |         37 |
| /Users/yuwenjun/git_repo/code-train/code/cancanscript/read_ecl_sht_to_txt.py                                                             | Python           |         20 |         11 |         11 |         42 |
| /Users/yuwenjun/git_repo/code-train/code/cancanscript/split.py                                                                           | Python           |         35 |          2 |          5 |         42 |
| /Users/yuwenjun/git_repo/code-train/code/cancanscript/split2.py                                                                          | Python           |         41 |          0 |         12 |         53 |
| /Users/yuwenjun/git_repo/code-train/code/classic_example/fork.cpp                                                                        | C++              |         36 |          0 |          8 |         44 |
| /Users/yuwenjun/git_repo/code-train/code/ielts/anaysl.py                                                                                 | Python           |         22 |         32 |         15 |         69 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/.devops/tools.sh                                                                      | Shell Script     |         39 |          3 |          4 |         46 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/.flake8                                                                               | Ini              |         17 |          0 |          1 |         18 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/.github/ISSUE_TEMPLATE/01-bug-low.yml                                                 | YAML             |         50 |          0 |          1 |         51 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/.github/ISSUE_TEMPLATE/02-bug-medium.yml                                              | YAML             |         50 |          0 |          1 |         51 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/.github/ISSUE_TEMPLATE/03-bug-high.yml                                                | YAML             |         50 |          0 |          1 |         51 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/.github/ISSUE_TEMPLATE/04-bug-critical.yml                                            | YAML             |         50 |          0 |          1 |         51 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/.github/ISSUE_TEMPLATE/05-enhancement.yml                                             | YAML             |         47 |          0 |          5 |         52 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/.github/ISSUE_TEMPLATE/06-research.yml                                                | YAML             |         46 |          0 |          7 |         53 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/.github/ISSUE_TEMPLATE/07-refactor.yml                                                | YAML             |         26 |          0 |          3 |         29 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/.github/ISSUE_TEMPLATE/config.yml                                                     | YAML             |         11 |          0 |          3 |         14 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/.github/labeler.yml                                                                   | YAML             |         88 |          1 |          1 |         90 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/.github/pull_request_template.md                                                      | Markdown         |          5 |          0 |          3 |          8 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/.github/workflows/bench.yml                                                           | YAML             |        252 |          2 |         57 |        311 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/.github/workflows/build.yml                                                           | YAML             |        921 |        219 |        173 |      1,313 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/.github/workflows/close-issue.yml                                                     | YAML             |         22 |          0 |          2 |         24 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/.github/workflows/docker.yml                                                          | YAML             |         85 |         16 |         16 |        117 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/.github/workflows/editorconfig.yml                                                    | YAML             |         24 |          0 |          4 |         28 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/.github/workflows/gguf-publish.yml                                                    | YAML             |         27 |          8 |         10 |         45 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/.github/workflows/labeler.yml                                                         | YAML             |         16 |          0 |          2 |         18 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/.github/workflows/nix-ci-aarch64.yml                                                  | YAML             |         56 |          6 |          4 |         66 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/.github/workflows/nix-ci.yml                                                          | YAML             |         69 |          0 |          4 |         73 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/.github/workflows/nix-flake-update.yml                                                | YAML             |         21 |          0 |          2 |         23 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/.github/workflows/nix-publish-flake.yml                                               | YAML             |         35 |          1 |          1 |         37 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/.github/workflows/python-check-requirements.yml                                       | YAML             |         32 |          0 |          4 |         36 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/.github/workflows/python-lint.yml                                                     | YAML             |         20 |          0 |          4 |         24 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/.github/workflows/server.yml                                                          | YAML             |        159 |          1 |         24 |        184 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/.pre-commit-config.yaml                                                               | YAML             |         14 |          2 |          1 |         17 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/CMakePresets.json                                                                     | JSON             |         58 |          0 |          7 |         65 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/CONTRIBUTING.md                                                                       | Markdown         |         10 |          0 |          5 |         15 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/Makefile                                                                              | Makefile         |      1,138 |         83 |        244 |      1,465 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/Package.swift                                                                         | Swift            |         63 |          6 |          7 |         76 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/README-sycl.md                                                                        | Markdown         |        402 |          0 |        191 |        593 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/README.md                                                                             | Markdown         |        767 |          0 |        231 |        998 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/SECURITY.md                                                                           | Markdown         |         43 |          0 |         25 |         68 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ci/README.md                                                                          | Markdown         |         20 |          0 |         10 |         30 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ci/run.sh                                                                             | Shell Script     |        559 |         35 |        162 |        756 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/cmake/arm64-windows-llvm.cmake                                                        | CMake            |         11 |          0 |          6 |         17 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/cmake/arm64-windows-msvc.cmake                                                        | CMake            |          5 |          0 |          2 |          7 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/cmake/build-info.cmake                                                                | CMake            |         55 |          0 |          4 |         59 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/cmake/git-vars.cmake                                                                  | CMake            |         19 |          0 |          4 |         23 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/common/base64.hpp                                                                     | C++              |        194 |        149 |         50 |        393 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/common/common.cpp                                                                     | C++              |      2,762 |        128 |        287 |      3,177 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/common/common.h                                                                       | C++              |        277 |         77 |        104 |        458 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/common/console.cpp                                                                    | C++              |        412 |         31 |         59 |        502 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/common/console.h                                                                      | C++              |         14 |          1 |          5 |         20 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/common/grammar-parser.cpp                                                             | C++              |        470 |         28 |         39 |        537 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/common/grammar-parser.h                                                               | C++              |         15 |         10 |          5 |         30 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/common/json-schema-to-grammar.cpp                                                     | C++              |        937 |         18 |         91 |      1,046 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/common/json-schema-to-grammar.h                                                       | C++              |          5 |          1 |          3 |          9 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/common/json.hpp                                                                       | C++              |     17,453 |      4,342 |      2,972 |     24,767 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/common/log.h                                                                          | C++              |        477 |        157 |         91 |        725 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/common/ngram-cache.cpp                                                                | C++              |        230 |          5 |         48 |        283 |
